College Name,University Name,District,Students,Students Male,Students Female,Teachers,Placement Percentage,Scholarships,Pass Percentage,Attendance Percentage,Infrastructure Score,AI Risk Score,Budget Lakhs,NAAC Grade,Academic Year
"Bharti Vidyapeeth College of Engineering, Lonavala",SNDT Women's University,Parbhani,2999,1569,1430,197,93,367,79,94,86,52,944,A+,2025
"Walchand College of Engineering, Aurangabad",Savitribai Phule Pune University,Pune,1295,804,491,96,58,277,85,71,73,51,1236,A++,2022
"Walchand College of Engineering, Aurangabad",Savitribai Phule Pune University,Pune,1332,761,571,94,55,280,85,68,73,46,1253,A++,2023
"Walchand College of Engineering, Aurangabad",Savitribai Phule Pune University,Pune,1388,730,658,101,53,257,87,67,75,49,1358,A++,2024
"Walchand College of Engineering, Aurangabad",Savitribai Phule Pune University,Pune,1531,1026,505,101,56,250,91,69,75,45,1478,A++,2025
"Fr. Conceicao Rodrigues College of Engineering, Navi Mumbai",Shivaji University,Ratnagiri,1369,587,782,64,75,264,84,71,69,56,383,A++,2022
"Fr. Conceicao Rodrigues College of Engineering, Navi Mumbai",Shivaji University,Ratnagiri,1414,851,563,65,77,256,79,73,70,52,429,A++,2023
"Fr. Conceicao Rodrigues College of Engineering, Navi Mumbai",Shivaji University,Ratnagiri,1448,976,472,59,78,277,85,71,69,53,456,A++,2024
"Fr. Conceicao Rodrigues College of Engineering, Navi Mumbai",Shivaji University,Ratnagiri,1470,785,685,60,84,269,82,70,70,55,479,A++,2025
"Fr. Conceicao Rodrigues College of Engineering, Pune 93",Shivaji University,Solapur,1872,948,924,95,48,413,81,97,87,24,375,B+,2022
"Fr. Conceicao Rodrigues College of Engineering, Pune 93",Shivaji University,Solapur,1949,1096,853,94,48,408,81,96,90,28,408,B+,2023
"Fr. Conceicao Rodrigues College of Engineering, Pune 93",Shivaji University,Solapur,1885,889,996,93,50,357,78,99,88,28,433,B+,2024
"Fr. Conceicao Rodrigues College of Engineering, Pune 93",Shivaji University,Solapur,2075,1378,697,96,52,369,83,99,89,28,441,B+,2025
"Pillai College of Engineering, Dhule",North Maharashtra University,Nandurbar,500,257,243,22,78,54,84,83,64,4,560,B+,2022
"Pillai College of Engineering, Dhule",North Maharashtra University,Nandurbar,500,291,209,24,80,50,85,83,64,7,585,B+,2023
"Pillai College of Engineering, Dhule",North Maharashtra University,Nandurbar,520,238,282,24,76,54,81,82,67,10,644,B+,2024
"Pillai College of Engineering, Dhule",North Maharashtra University,Nandurbar,536,318,218,21,78,50,88,84,66,9,651,B+,2025
"Sanjay Ghodawat Institute, Nagpur",Dr. Babasaheb Ambedkar Technological University,Latur,1362,875,487,109,75,336,68,82,83,77,903,B+,2022
"Sanjay Ghodawat Institute, Nagpur",Dr. Babasaheb Ambedkar Technological University,Latur,1412,951,461,103,79,348,69,83,85,74,899,B+,2023
"Sanjay Ghodawat Institute, Nagpur",Dr. Babasaheb Ambedkar Technological University,Latur,1493,752,741,111,76,335,73,82,84,74,957,B+,2024
"Sanjay Ghodawat Institute, Nagpur",Dr. Babasaheb Ambedkar Technological University,Latur,1542,781,761,103,79,353,74,83,82,74,1029,B+,2025
"Bharti Vidyapeeth College of Engineering, Karad 89",SNDT Women's University,Aurangabad,5412,2698,2714,317,79,683,76,77,54,42,127,B++,2022
"Bharti Vidyapeeth College of Engineering, Karad 89",SNDT Women's University,Aurangabad,5644,2868,2776,321,76,711,76,80,54,42,134,B++,2023
"Bharti Vidyapeeth College of Engineering, Karad 89",SNDT Women's University,Aurangabad,5620,2547,3073,342,80,774,76,79,55,44,153,B++,2024
"Bharti Vidyapeeth College of Engineering, Karad 89",SNDT Women's University,Aurangabad,6000,3326,2674,319,79,710,77,78,56,40,151,B++,2025
"Sanjay Ghodawat Institute, Karad",Shivaji University,Kolhapur,955,446,509,45,46,99,62,84,56,62,534,A++,2022
"Sanjay Ghodawat Institute, Karad",Shivaji University,Kolhapur,1101,622,479,45,46,102,65,85,53,64,551,A++,2023
"Sanjay Ghodawat Institute, Karad",Shivaji University,Kolhapur,1150,537,613,43,54,102,64,88,54,66,643,A++,2024
"Sanjay Ghodawat Institute, Karad",Shivaji University,Kolhapur,1081,669,412,43,48,91,64,84,55,62,627,A++,2025
"Sardar Patel College of Engineering, Wadala",Shivaji University,Ratnagiri,4962,2241,2721,238,57,1012,84,75,55,12,1359,A+,2022
"Sardar Patel College of Engineering, Wadala",Shivaji University,Ratnagiri,5104,2746,2358,260,57,916,83,79,58,11,1475,A+,2023
"Sardar Patel College of Engineering, Wadala",Shivaji University,Ratnagiri,5591,3666,1925,254,60,894,84,77,57,15,1429,A+,2024
"Sardar Patel College of Engineering, Wadala",Shivaji University,Ratnagiri,5228,3489,1739,238,65,902,86,78,55,9,1500,A+,2025
"Atharva College of Engineering, Ratnagiri",Dr. Babasaheb Ambedkar Technological University,Akola,5226,3254,1972,202,49,325,81,72,66,26,450,B,2022
"Atharva College of Engineering, Ratnagiri",Dr. Babasaheb Ambedkar Technological University,Akola,5594,2489,3105,205,51,351,81,72,66,25,482,B,2023
"Atharva College of Engineering, Ratnagiri",Dr. Babasaheb Ambedkar Technological University,Akola,5682,3010,2672,205,51,347,82,69,64,25,498,B,2024
"Atharva College of Engineering, Ratnagiri",Dr. Babasaheb Ambedkar Technological University,Akola,6000,2869,3131,216,52,382,84,73,64,23,535,B,2025
"Vivekanand Education Society's Institute of Technology, Thane",University of Mumbai,Thane,3801,2388,1413,259,47,556,94,70,55,82,1110,A,2022
"Vivekanand Education Society's Institute of Technology, Thane",University of Mumbai,Thane,4182,2753,1429,268,54,528,92,72,54,82,1151,A,2023
"Vivekanand Education Society's Institute of Technology, Thane",University of Mumbai,Thane,4159,2291,1868,251,54,502,94,72,52,80,1241,A,2024
"Vivekanand Education Society's Institute of Technology, Thane",University of Mumbai,Thane,4711,2363,2348,277,55,550,96,71,53,81,1274,A,2025
"Government College of Engineering, Nagpur 31",University of Mumbai,Thane,4208,2428,1780,240,67,897,67,87,52,46,566,B++,2022
"Government College of Engineering, Nagpur 31",University of Mumbai,Thane,4413,2381,2032,223,74,874,73,91,51,51,638,B++,2023
"Government College of Engineering, Nagpur 31",University of Mumbai,Thane,4669,2440,2229,219,70,843,69,87,50,51,702,B++,2024
"Government College of Engineering, Nagpur 31",University of Mumbai,Thane,5016,2379,2637,232,72,898,74,91,50,46,689,B++,2025
"Fr. Conceicao Rodrigues College of Engineering, Latur",North Maharashtra University,Nandurbar,4633,2516,2117,205,74,415,80,79,55,74,1066,B,2022
"Fr. Conceicao Rodrigues College of Engineering, Latur",North Maharashtra University,Nandurbar,4874,2354,2520,215,79,350,75,76,55,74,1221,B,2023
"Fr. Conceicao Rodrigues College of Engineering, Latur",North Maharashtra University,Nandurbar,5296,3044,2252,224,78,349,79,79,55,72,1286,B,2024
"Fr. Conceicao Rodrigues College of Engineering, Latur",North Maharashtra University,Nandurbar,5425,2873,2552,216,76,367,82,79,55,71,1330,B,2025
"Maharashtra Institute of Technology, Akola",University of Mumbai,Mumbai Suburban,4207,2146,2061,225,74,315,94,69,63,7,1200,B+,2022
"Maharashtra Institute of Technology, Akola",University of Mumbai,Mumbai Suburban,4276,2449,1827,225,82,313,91,71,63,11,1341,B+,2023
"Maharashtra Institute of Technology, Akola",University of Mumbai,Mumbai Suburban,4573,2348,2225,218,78,346,92,68,63,6,1318,B+,2024
"Maharashtra Institute of Technology, Akola",University of Mumbai,Mumbai Suburban,4501,2466,2035,229,84,324,92,72,60,5,1423,B+,2025
"Rajarambapu Institute of Technology, Wadala 52",Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,2266,1350,916,111,51,353,83,98,72,30,478,B+,2022
"Rajarambapu Institute of Technology, Wadala 52",Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,2345,1121,1224,113,49,412,89,96,71,31,522,B+,2023
"Rajarambapu Institute of Technology, Wadala 52",Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,2679,1546,1133,110,45,423,87,99,69,30,554,B+,2024
"Rajarambapu Institute of Technology, Wadala 52",Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,2730,1755,975,110,54,354,85,97,69,36,548,B+,2025
"Sandip Foundation College of Engineering, Bandra",Shivaji University,Solapur,1428,870,558,71,68,199,67,65,79,81,1134,B++,2022
"Sandip Foundation College of Engineering, Bandra",Shivaji University,Solapur,1575,711,864,65,67,210,61,65,81,78,1198,B++,2023
"Sandip Foundation College of Engineering, Bandra",Shivaji University,Solapur,1541,753,788,71,68,194,67,65,79,82,1338,B++,2024
"Sandip Foundation College of Engineering, Bandra",Shivaji University,Solapur,1664,797,867,72,69,216,66,67,80,76,1368,B++,2025
"D.Y. Patil Institute of Engineering, Nagpur",SNDT Women's University,Nanded,3162,1918,1244,128,57,346,69,94,84,90,635,A+,2022
"D.Y. Patil Institute of Engineering, Nagpur",SNDT Women's University,Nanded,3345,1979,1366,130,57,414,72,95,85,90,695,A+,2023
"D.Y. Patil Institute of Engineering, Nagpur",SNDT Women's University,Nanded,3499,1973,1526,123,63,408,68,93,84,92,738,A+,2024
"D.Y. Patil Institute of Engineering, Nagpur",SNDT Women's University,Nanded,3661,2382,1279,130,66,392,75,94,84,89,749,A+,2025
"K.K. Wagh Institute of Engineering Education, Chandrapur",University of Mumbai,Mumbai,4654,2426,2228,310,85,341,69,81,57,10,1129,B,2022
"K.K. Wagh Institute of Engineering Education, Chandrapur",University of Mumbai,Mumbai,4797,2439,2358,306,84,307,71,83,58,11,1242,B,2023
"K.K. Wagh Institute of Engineering Education, Chandrapur",University of Mumbai,Mumbai,5025,2662,2363,300,85,363,68,83,58,10,1215,B,2024
"K.K. Wagh Institute of Engineering Education, Chandrapur",University of Mumbai,Mumbai,5502,2489,3013,290,86,336,68,83,57,12,1321,B,2025
"K.J. Somaiya College of Engineering, Amravati",SNDT Women's University,Aurangabad,5315,3358,1957,224,75,789,64,69,89,53,610,A+,2022
"K.J. Somaiya College of Engineering, Amravati",SNDT Women's University,Aurangabad,5349,3329,2020,220,76,789,66,71,89,51,623,A+,2023
"K.J. Somaiya College of Engineering, Amravati",SNDT Women's University,Aurangabad,6000,3262,2738,220,80,783,64,72,92,57,673,A+,2024
"K.J. Somaiya College of Engineering, Amravati",SNDT Women's University,Aurangabad,6000,3180,2820,219,83,792,65,69,90,55,697,A+,2025
"Maharashtra Institute of Technology, Pune",Savitribai Phule Pune University,Nashik,2478,1124,1354,186,77,350,85,66,59,6,377,B,2022
"Maharashtra Institute of Technology, Pune",Savitribai Phule Pune University,Nashik,2683,1384,1299,194,76,350,86,67,58,6,396,B,2023
"Maharashtra Institute of Technology, Pune",Savitribai Phule Pune University,Nashik,2576,1286,1290,177,75,378,91,65,57,12,424,B,2024
"Maharashtra Institute of Technology, Pune",Savitribai Phule Pune University,Nashik,2663,1737,926,192,75,355,91,66,56,6,448,B,2025
"Vivekanand Education Society's Institute of Technology, Mumbai 75",Shivaji University,Ratnagiri,3559,1536,2023,285,64,455,61,88,65,90,568,A+,2022
"Vivekanand Education Society's Institute of Technology, Mumbai 75",Shivaji University,Ratnagiri,3941,2435,1506,286,68,473,64,88,63,90,609,A+,2023
"Vivekanand Education Society's Institute of Technology, Mumbai 75",Shivaji University,Ratnagiri,3902,2272,1630,291,68,425,63,87,62,89,662,A+,2024
"Vivekanand Education Society's Institute of Technology, Mumbai 75",Shivaji University,Ratnagiri,4434,2606,1828,302,63,456,67,87,62,89,677,A+,2025
"Sandip Foundation College of Engineering, Nashik",Shivaji University,Ratnagiri,4999,2903,2096,234,56,1199,72,90,53,23,735,B++,2022
"Sandip Foundation College of Engineering, Nashik",Shivaji University,Ratnagiri,5204,3452,1752,220,57,1049,69,90,53,19,784,B++,2023
"Sandip Foundation College of Engineering, Nashik",Shivaji University,Ratnagiri,5767,3024,2743,215,58,1063,70,92,50,25,812,B++,2024
"Sandip Foundation College of Engineering, Nashik",Shivaji University,Ratnagiri,5882,2609,3273,249,67,1026,71,90,52,25,813,B++,2025
"Atharva College of Engineering, Chandrapur",Dr. Babasaheb Ambedkar Technological University,Chandrapur,1631,857,774,69,52,193,64,93,65,25,924,A,2022
"Atharva College of Engineering, Chandrapur",Dr. Babasaheb Ambedkar Technological University,Chandrapur,1685,1098,587,70,49,188,60,97,64,25,1018,A,2023
"Atharva College of Engineering, Chandrapur",Dr. Babasaheb Ambedkar Technological University,Chandrapur,1841,1227,614,70,54,205,63,93,66,22,1070,A,2024
"Atharva College of Engineering, Chandrapur",Dr. Babasaheb Ambedkar Technological University,Chandrapur,1863,1211,652,70,51,196,65,94,65,26,1132,A,2025
"Pillai College of Engineering, Latur 30",Shivaji University,Kolhapur,5236,3064,2172,333,64,560,62,81,74,83,1041,A++,2022
"Pillai College of Engineering, Latur 30",Shivaji University,Kolhapur,5434,2938,2496,350,67,592,62,80,71,82,1092,A++,2023
"Pillai College of Engineering, Latur 30",Shivaji University,Kolhapur,5847,3489,2358,350,67,584,66,82,71,80,1218,A++,2024
"Pillai College of Engineering, Latur 30",Shivaji University,Kolhapur,6000,2988,3012,344,66,613,68,84,73,82,1211,A++,2025
"St. John College of Engineering, Wadala 69",Shivaji University,Sangli,1329,835,494,58,62,119,79,68,57,74,916,A++,2022
"St. John College of Engineering, Wadala 69",Shivaji University,Sangli,1374,652,722,59,63,104,78,66,55,77,963,A++,2023
"St. John College of Engineering, Wadala 69",Shivaji University,Sangli,1542,917,625,54,66,122,78,65,55,77,972,A++,2024
"St. John College of Engineering, Wadala 69",Shivaji University,Sangli,1612,958,654,56,65,126,78,69,57,76,1043,A++,2025
"Pillai College of Engineering, Akola 56",University of Mumbai,Palghar,1362,818,544,72,84,115,60,93,50,64,1120,B+,2022
"Pillai College of Engineering, Akola 56",University of Mumbai,Palghar,1440,859,581,81,81,109,63,92,50,64,1227,B+,2023
"Pillai College of Engineering, Akola 56",University of Mumbai,Palghar,1557,668,889,78,82,107,66,93,50,69,1216,B+,2024
"Pillai College of Engineering, Akola 56",University of Mumbai,Palghar,1548,718,830,75,82,108,62,90,50,65,1395,B+,2025
"Sandip Foundation College of Engineering, Akola 95",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,3303,2143,1160,190,87,674,100,83,93,17,657,A+,2022
"Sandip Foundation College of Engineering, Akola 95",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,3362,2231,1131,188,84,769,98,86,94,14,673,A+,2023
"Sandip Foundation College of Engineering, Akola 95",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,3560,1953,1607,184,85,774,98,83,93,15,745,A+,2024
"Sandip Foundation College of Engineering, Akola 95",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,3637,1898,1739,179,86,789,99,86,91,13,756,A+,2025
"Dwarkadas J. Sanghvi College of Engineering, Latur",Shivaji University,Sangli,2648,1155,1493,142,53,352,87,74,90,75,642,B++,2022
"Dwarkadas J. Sanghvi College of Engineering, Latur",Shivaji University,Sangli,2719,1310,1409,136,54,376,85,75,88,75,705,B++,2023
"Dwarkadas J. Sanghvi College of Engineering, Latur",Shivaji University,Sangli,2958,1315,1643,138,56,324,82,74,91,71,776,B++,2024
"Dwarkadas J. Sanghvi College of Engineering, Latur",Shivaji University,Sangli,3205,1998,1207,130,63,322,87,77,88,69,805,B++,2025
"St. John College of Engineering, Karad 39",Shivaji University,Satara,3718,1846,1872,159,80,663,89,92,77,86,486,A+,2022
"St. John College of Engineering, Karad 39",Shivaji University,Satara,4019,2607,1412,166,85,667,91,91,80,87,515,A+,2023
"St. John College of Engineering, Karad 39",Shivaji University,Satara,3953,1765,2188,165,82,660,93,92,78,88,558,A+,2024
"St. John College of Engineering, Karad 39",Shivaji University,Satara,4221,2301,1920,166,84,614,94,91,77,84,576,A+,2025
"Dwarkadas J. Sanghvi College of Engineering, Kalyan 95",University of Mumbai,Thane,1092,731,361,74,87,191,82,69,98,30,1331,B,2022
"Dwarkadas J. Sanghvi College of Engineering, Kalyan 95",University of Mumbai,Thane,1139,587,552,66,86,171,82,72,97,30,1421,B,2023
"Dwarkadas J. Sanghvi College of Engineering, Kalyan 95",University of Mumbai,Thane,1286,754,532,68,86,182,84,71,100,31,1500,B,2024
"Dwarkadas J. Sanghvi College of Engineering, Kalyan 95",University of Mumbai,Thane,1336,757,579,70,90,184,81,68,100,33,1500,B,2025
"Shri Guru Gobind Singhji Institute of Engineering, Jalgaon 19",University of Mumbai,Mumbai,2303,1518,785,91,83,483,62,93,78,82,1193,A++,2022
"Shri Guru Gobind Singhji Institute of Engineering, Jalgaon 19",University of Mumbai,Mumbai,2508,1579,929,88,87,456,61,94,75,77,1231,A++,2023
"Shri Guru Gobind Singhji Institute of Engineering, Jalgaon 19",University of Mumbai,Mumbai,2571,1175,1396,89,87,442,62,93,76,79,1278,A++,2024
"Shri Guru Gobind Singhji Institute of Engineering, Jalgaon 19",University of Mumbai,Mumbai,2815,1708,1107,87,91,462,64,92,76,83,1363,A++,2025
"Bharti Vidyapeeth College of Engineering, Bandra",SNDT Women's University,Latur,1516,964,552,70,45,332,64,92,66,20,1050,A+,2022
"Bharti Vidyapeeth College of Engineering, Bandra",SNDT Women's University,Latur,1634,759,875,75,48,370,63,90,64,20,1164,A+,2023
"Bharti Vidyapeeth College of Engineering, Bandra",SNDT Women's University,Latur,1678,869,809,73,49,376,65,90,64,25,1209,A+,2024
"Bharti Vidyapeeth College of Engineering, Bandra",SNDT Women's University,Latur,1896,957,939,69,48,369,71,94,66,20,1312,A+,2025
"Fr. Conceicao Rodrigues College of Engineering, Mumbai",North Maharashtra University,Dhule,3996,2500,1496,304,72,694,98,87,99,56,1240,A++,2022
"Fr. Conceicao Rodrigues College of Engineering, Mumbai",North Maharashtra University,Dhule,3975,2405,1570,300,78,722,95,86,99,57,1309,A++,2023
"Fr. Conceicao Rodrigues College of Engineering, Mumbai",North Maharashtra University,Dhule,4538,2594,1944,276,75,747,96,84,100,54,1375,A++,2024
"Fr. Conceicao Rodrigues College of Engineering, Mumbai",North Maharashtra University,Dhule,4766,2709,2057,319,78,658,94,84,97,55,1478,A++,2025
"Ramrao Adik Institute of Technology, Navi Mumbai",North Maharashtra University,Dhule,3770,2155,1615,156,93,802,88,82,100,30,1315,B+,2022
"Ramrao Adik Institute of Technology, Navi Mumbai",North Maharashtra University,Dhule,3951,2052,1899,148,92,776,85,81,97,30,1417,B+,2023
"Ramrao Adik Institute of Technology, Navi Mumbai",North Maharashtra University,Dhule,4241,2490,1751,164,93,749,86,81,97,32,1409,B+,2024
"Ramrao Adik Institute of Technology, Navi Mumbai",North Maharashtra University,Dhule,4266,2156,2110,152,95,764,91,80,99,28,1500,B+,2025
"Sardar Patel College of Engineering, Dhule 63",University of Mumbai,Raigad,2481,1265,1216,155,92,287,80,84,72,71,242,A+,2022
"Sardar Patel College of Engineering, Dhule 63",University of Mumbai,Raigad,2738,1256,1482,141,90,282,75,87,70,70,260,A+,2023
"Sardar Patel College of Engineering, Dhule 63",University of Mumbai,Raigad,2821,1528,1293,151,93,285,77,85,72,72,288,A+,2024
"Sardar Patel College of Engineering, Dhule 63",University of Mumbai,Raigad,2909,1553,1356,152,89,263,80,85,71,71,273,A+,2025
"K.J. Somaiya College of Engineering, Aurangabad",Dr. Babasaheb Ambedkar Technological University,Yavatmal,2127,1354,773,167,73,235,92,92,54,25,884,B,2022
"K.J. Somaiya College of Engineering, Aurangabad",Dr. Babasaheb Ambedkar Technological University,Yavatmal,2199,941,1258,162,73,242,92,93,55,26,911,B,2023
"K.J. Somaiya College of Engineering, Aurangabad",Dr. Babasaheb Ambedkar Technological University,Yavatmal,2267,1267,1000,163,70,230,90,91,52,24,952,B,2024
"K.J. Somaiya College of Engineering, Aurangabad",Dr. Babasaheb Ambedkar Technological University,Yavatmal,2426,1039,1387,177,77,216,89,89,55,25,1016,B,2025
"St. John College of Engineering, Dhule",Dr. Babasaheb Ambedkar Technological University,Yavatmal,3266,1817,1449,182,68,365,82,91,86,95,1085,B+,2022
"St. John College of Engineering, Dhule",Dr. Babasaheb Ambedkar Technological University,Yavatmal,3366,1883,1483,183,65,355,87,90,84,98,1156,B+,2023
"St. John College of Engineering, Dhule",Dr. Babasaheb Ambedkar Technological University,Yavatmal,3658,2211,1447,183,69,370,86,92,85,93,1194,B+,2024
"St. John College of Engineering, Dhule",Dr. Babasaheb Ambedkar Technological University,Yavatmal,3688,1610,2078,181,69,365,87,92,86,95,1352,B+,2025
"K.K. Wagh Institute of Engineering Education, Jalgaon",Shivaji University,Solapur,4204,2080,2124,350,69,710,88,75,81,17,1288,B++,2022
"K.K. Wagh Institute of Engineering Education, Jalgaon",Shivaji University,Solapur,4500,2375,2125,332,69,726,87,74,78,16,1367,B++,2023
"K.K. Wagh Institute of Engineering Education, Jalgaon",Shivaji University,Solapur,4322,2810,1512,330,72,702,83,74,81,16,1500,B++,2024
"K.K. Wagh Institute of Engineering Education, Jalgaon",Shivaji University,Solapur,4824,3274,1550,326,66,733,90,75,81,16,1446,B++,2025
"Vivekanand Education Society's Institute of Technology, Pune 76",Shivaji University,Sindhudurg,647,279,368,49,75,50,91,77,53,33,773,B,2022
"Vivekanand Education Society's Institute of Technology, Pune 76",Shivaji University,Sindhudurg,682,412,270,50,76,51,86,74,53,35,892,B,2023
"Vivekanand Education Society's Institute of Technology, Pune 76",Shivaji University,Sindhudurg,705,446,259,56,72,55,91,74,53,32,871,B,2024
"Vivekanand Education Society's Institute of Technology, Pune 76",Shivaji University,Sindhudurg,796,369,427,55,71,53,89,77,54,31,928,B,2025
"Vishwakarma Institute of Technology, Solapur",Shivaji University,Sangli,2453,1460,993,109,67,275,68,97,50,95,1117,B++,2022
"Vishwakarma Institute of Technology, Solapur",Shivaji University,Sangli,2680,1542,1138,106,74,271,63,95,51,93,1129,B++,2023
"Vishwakarma Institute of Technology, Solapur",Shivaji University,Sangli,2808,1901,907,112,72,267,63,94,50,98,1297,B++,2024
